id,dictionaryfield_id,datafamily_id
1,3,1
2,4,1
3,5,1
4,6,1
5,24,1
6,26,1
7,27,1
8,28,1
9,31,1
10,33,1
11,34,1
12,39,1
13,43,1
14,44,1
15,45,1
16,46,1
17,47,1
18,49,1
19,55,1
20,71,1
21,72,1
22,74,1
23,75,1
24,76,1
25,77,1
26,78,1
27,79,1
28,80,1
29,81,1
30,82,1
31,83,1
32,84,1
33,85,1
34,86,1
35,87,1
36,88,1
37,89,1
38,90,1
39,91,1
40,92,1
41,93,1
42,94,1
43,95,1
44,96,1
45,97,1
46,159,1
47,160,1
48,164,1
49,165,1
50,166,1
51,167,1
52,168,1
53,169,1
54,170,1
55,171,1
56,172,1
57,173,1
58,174,1
59,175,1
60,176,1
61,177,1
62,178,1
63,179,1
64,180,1
65,181,1
66,182,1
67,183,1
68,184,1
69,185,1
70,186,1
71,187,1
72,188,1
73,189,1
74,190,1
75,191,1
76,192,1
77,193,1
78,201,1
79,53,1
80,98,1
81,118,1
82,119,1
83,120,1
84,199,1
85,100,1
86,113,1
87,114,1
88,115,1
89,25,3
90,50,3
91,53,3
92,54,3
93,98,3
94,100,3
95,101,3
96,102,3
97,103,3
98,104,3
99,106,3
100,111,3
101,113,3
102,114,3
103,115,3
104,116,3
105,118,3
106,119,3
107,120,3
108,122,3
109,129,3
110,130,3
111,153,3
112,157,3
113,199,3
114,215,3
115,216,3
116,217,3
117,223,3
118,231,3
119,235,3
120,3,3
121,4,3
122,24,3
123,26,3
124,27,3
125,28,3
126,33,3
127,34,3
128,43,3
129,44,3
130,45,3
131,71,3
132,72,3
133,74,3
134,75,3
135,76,3
136,77,3
137,78,3
138,79,3
139,80,3
140,81,3
141,82,3
142,83,3
143,84,3
144,85,3
145,86,3
146,87,3
147,88,3
148,89,3
149,90,3
150,91,3
151,92,3
152,93,3
153,94,3
154,95,3
155,96,3
156,97,3
157,42,6
158,61,6
159,67,6
160,68,6
161,69,6
162,70,6
163,73,6
164,154,6
165,5,6
166,6,6
167,100,6
168,106,6
169,113,6
170,114,6
171,115,6
172,116,6
173,3,6
174,4,6
175,33,6
176,34,6
177,43,6
178,44,6
179,53,6
180,71,6
181,72,6
182,74,6
183,75,6
184,76,6
185,77,6
186,78,6
187,79,6
188,80,6
189,81,6
190,82,6
191,83,6
192,84,6
193,85,6
194,86,6
195,87,6
196,88,6
197,89,6
198,90,6
199,91,6
200,92,6
201,93,6
202,94,6
203,95,6
204,96,6
205,97,6
206,98,6
207,99,4
208,135,4
209,136,4
210,137,4
211,138,4
212,139,4
213,140,4
214,141,4
215,142,4
216,143,4
217,144,4
218,145,4
219,146,4
220,147,4
221,148,4
222,149,4
223,150,4
224,151,4
225,152,4
226,224,4
227,225,4
