message
ADMIN
ALM_REQ
ALM_RES
CBR_REQ
CBU_DIFF
CBU_FULL
DONOR_CB
IDM_REQ
IDM_RES
MARR_STAT
MATCH_SUM
MSG_ACK
MSG_DEN
NEW_ADD
NO_RES
PAT_STAT
PAT_UPD
PHEN_LIST
REQ_CAN
RES_REM
RSV_NOT
RSV_REQ
RSV_RES
SMP_ARR
SMP_INFO
SMP_REQ
SMP_RES
TXT_MSG
TYP_REQ
TYP_RES
WARNING
WOR_REQ
